flood_id,timestamp,street,district,lat,lng,depth_cm,duration_min,flood_level,traffic_impact,rainfall_trigger_mm,source,verified,severity_score,hour_timestamp
FLD01093,2023-01-16T07:29:17.000Z,Ung Van Khiem,Binh Thanh,10.810849,106.709238,5.0,60,light,clear,12.2,monitoring_station,true,21.5,2023-01-16T07:00:00.000Z
FLD01634,2023-01-17T10:38:33.000Z,Nguyen Van Khoi,Go Vap,10.830168,106.69224,9.4,60,light,clear,10.4,user_report,true,24.58,2023-01-17T10:00:00.000Z
FLD00308,2023-01-17T14:15:28.000Z,Hau Giang,Quan 6,10.747698,106.64105,39.8,90,severe,blocked,98.9,monitoring_station,true,54.86,2023-01-17T14:00:00.000Z
FLD02286,2023-01-17T18:30:53.000Z,Thoai Ngoc Hau,Tan Phu,10.785066,106.626936,10.7,30,light,clear,11.0,IoT_sensor,true,16.49,2023-01-17T18:00:00.000Z
FLD01935,2023-01-18T04:18:45.000Z,Do Xuan Hop,Thu Duc,10.832763,106.780594,6.1,30,light,clear,10.7,user_report,true,13.27,2023-01-18T04:00:00.000Z
FLD02282,2023-01-18T07:24:53.000Z,Le Van Luong,Quan 7,10.736918,106.705425,5.0,180,light,clear,4.9,monitoring_station,true,57.5,2023-01-18T07:00:00.000Z
FLD02399,2023-01-18T12:04:41.000Z,Ma Lo,Binh Tan,10.76504,106.612956,14.9,60,light,clear,22.3,user_report,true,28.43,2023-01-18T12:00:00.000Z
FLD00047,2023-01-18T22:09:38.000Z,Pham The Hien,Quan 8,10.725645,106.681522,8.6,120,light,clear,20.2,IoT_sensor,true,42.019999999999996,2023-01-18T22:00:00.000Z
FLD02056,2023-01-19T09:22:15.000Z,Quang Trung,Go Vap,10.839947,106.663418,24.3,60,moderate,slow,43.1,traffic_camera,true,35.01,2023-01-19T09:00:00.000Z
FLD02276,2023-01-19T10:36:19.000Z,Vo Van Kiet,Quan 1,10.761951,106.70027,48.8,90,severe,blocked,53.6,user_report,true,61.16,2023-01-19T10:00:00.000Z
FLD01199,2023-01-19T16:02:20.000Z,Phan Huy Ich,Go Vap,10.829737,106.671233,6.8,120,light,clear,16.6,user_report,true,40.76,2023-01-19T16:00:00.000Z
FLD01767,2023-01-19T18:25:46.000Z,Hau Giang,Quan 6,10.748272,106.640035,23.0,90,moderate,slow,33.1,IoT_sensor,true,43.099999999999994,2023-01-19T18:00:00.000Z
FLD00610,2023-01-19T22:18:06.000Z,Linh Dong,Thu Duc,10.865153,106.764449,41.5,30,severe,blocked,85.8,IoT_sensor,true,38.05,2023-01-19T22:00:00.000Z
FLD01785,2023-01-21T07:07:37.000Z,Le Dinh Can,Binh Tan,10.766318,106.595781,6.3,60,light,clear,5.5,IoT_sensor,true,22.41,2023-01-21T07:00:00.000Z
FLD01788,2023-01-21T17:14:22.000Z,Pham The Hien,Quan 8,10.729389,106.684276,6.8,60,light,clear,6.4,IoT_sensor,true,22.759999999999998,2023-01-21T17:00:00.000Z
FLD02072,2023-01-21T21:24:20.000Z,Le Van Viet,Thu Duc,10.846293,106.787774,21.1,120,moderate,slow,48.5,IoT_sensor,true,50.769999999999996,2023-01-21T21:00:00.000Z
FLD01806,2023-01-22T12:31:41.000Z,Tran Xuan Soan,Quan 7,10.753053,106.700337,5.5,30,light,clear,11.9,monitoring_station,true,12.85,2023-01-22T12:00:00.000Z
FLD00925,2023-01-23T12:13:25.000Z,Vo Van Kiet,Quan 1,10.762772,106.699705,13.3,180,light,clear,15.5,monitoring_station,true,63.31,2023-01-23T12:00:00.000Z
FLD01043,2023-01-23T23:01:36.000Z,Tam Binh,Thu Duc,10.863379,106.738711,16.5,120,moderate,slow,13.6,IoT_sensor,true,47.55,2023-01-23T23:00:00.000Z
FLD00572,2023-01-24T16:22:52.000Z,Tam Binh,Thu Duc,10.863577,106.737607,11.7,60,light,clear,27.2,monitoring_station,true,26.189999999999998,2023-01-24T16:00:00.000Z
FLD00147,2023-01-24T17:24:17.000Z,Nguyen Van Khoi,Go Vap,10.828363,106.691522,20.3,30,moderate,slow,45.6,user_report,true,23.21,2023-01-24T17:00:00.000Z
FLD02324,2023-01-24T18:55:57.000Z,Pham Van Dong,Binh Thanh,10.81902,106.704128,9.6,90,light,clear,17.1,IoT_sensor,true,33.72,2023-01-24T18:00:00.000Z
FLD02055,2023-01-25T09:34:03.000Z,Tam Binh,Thu Duc,10.860471,106.739163,21.6,90,moderate,slow,46.4,IoT_sensor,true,42.12,2023-01-25T09:00:00.000Z
FLD02222,2023-01-25T10:02:51.000Z,Le Thi Rieng,Quan 12,10.86205,106.648846,27.0,30,moderate,slow,49.0,IoT_sensor,true,27.9,2023-01-25T10:00:00.000Z
FLD01787,2023-01-25T11:30:45.000Z,Xo Viet Nghe Tinh,Binh Thanh,10.8065,106.713399,25.1,60,moderate,slow,47.7,IoT_sensor,true,35.57,2023-01-25T11:00:00.000Z
FLD01845,2023-01-25T21:17:34.000Z,Tran Xuan Soan,Quan 7,10.749974,106.699142,49.1,30,severe,blocked,70.0,monitoring_station,true,43.37,2023-01-25T21:00:00.000Z
FLD02251,2023-01-26T07:31:35.000Z,Tan Ky Tan Quy,Binh Tan,10.789602,106.600806,5.0,120,light,clear,12.0,user_report,true,39.5,2023-01-26T07:00:00.000Z
FLD01537,2023-01-27T01:29:59.000Z,Ma Lo,Binh Tan,10.763524,106.613534,16.4,90,moderate,slow,35.6,monitoring_station,true,38.48,2023-01-27T01:00:00.000Z
FLD00363,2023-01-27T10:05:34.000Z,Le Van Viet,Thu Duc,10.843755,106.790554,5.8,30,light,clear,8.0,user_report,true,13.059999999999999,2023-01-27T10:00:00.000Z
FLD02119,2023-01-27T14:02:56.000Z,Tran Nao,Quan 2,10.782994,106.736826,78.6,30,severe,blocked,160.9,IoT_sensor,true,64.02,2023-01-27T14:00:00.000Z
FLD01962,2023-01-27T20:46:48.000Z,Hau Giang,Quan 6,10.745393,106.638862,5.0,30,light,clear,10.3,IoT_sensor,true,12.5,2023-01-27T20:00:00.000Z
FLD01432,2023-01-27T21:33:46.000Z,Le Van Viet,Thu Duc,10.843476,106.789999,11.6,60,light,clear,25.6,user_report,true,26.119999999999997,2023-01-27T21:00:00.000Z
FLD00004,2023-01-27T22:11:04.000Z,Thoai Ngoc Hau,Tan Phu,10.786378,106.627258,5.7,90,light,clear,7.7,traffic_camera,true,30.99,2023-01-27T22:00:00.000Z
FLD00141,2023-01-28T03:36:11.000Z,Binh Long,Tan Phu,10.801415,106.615495,14.3,180,light,clear,31.0,user_report,true,64.01,2023-01-28T03:00:00.000Z
FLD01604,2023-01-28T11:32:49.000Z,Kinh Duong Vuong,Quan 6,10.74408,106.614002,23.6,90,moderate,slow,47.3,IoT_sensor,true,43.519999999999996,2023-01-28T11:00:00.000Z
FLD00855,2023-01-28T15:36:00.000Z,Xo Viet Nghe Tinh,Binh Thanh,10.808821,106.709946,14.6,30,light,clear,26.2,IoT_sensor,true,19.22,2023-01-28T15:00:00.000Z
FLD00630,2023-01-28T18:45:46.000Z,Tam Binh,Thu Duc,10.863475,106.737947,19.0,180,moderate,slow,42.1,user_report,true,67.3,2023-01-28T18:00:00.000Z
FLD01913,2023-01-28T21:33:18.000Z,Pham The Hien,Quan 8,10.728354,106.682647,5.0,120,light,clear,6.0,IoT_sensor,true,39.5,2023-01-28T21:00:00.000Z
FLD00867,2023-01-29T11:08:39.000Z,Do Xuan Hop,Thu Duc,10.834244,106.783624,8.8,120,light,clear,14.3,IoT_sensor,true,42.16,2023-01-29T11:00:00.000Z
FLD01514,2023-01-29T19:09:28.000Z,Vo Van Kiet,Quan 1,10.763918,106.700272,20.9,60,moderate,slow,33.0,monitoring_station,true,32.629999999999995,2023-01-29T19:00:00.000Z
FLD01037,2023-01-30T00:29:17.000Z,Le Van Luong,Quan 7,10.736693,106.705814,5.0,90,light,clear,11.0,user_report,true,30.5,2023-01-30T00:00:00.000Z
FLD01808,2023-01-30T05:04:43.000Z,Ung Van Khiem,Binh Thanh,10.810202,106.712437,19.1,30,moderate,slow,45.7,IoT_sensor,true,22.37,2023-01-30T05:00:00.000Z
FLD02081,2023-01-31T00:46:39.000Z,Hau Giang,Quan 6,10.747265,106.638787,6.6,180,light,clear,5.3,traffic_camera,true,58.62,2023-01-31T00:00:00.000Z
FLD00573,2023-01-31T22:26:22.000Z,Nguyen Anh Thu,Quan 12,10.877858,106.644321,5.0,30,light,clear,4.0,IoT_sensor,true,12.5,2023-01-31T22:00:00.000Z
FLD01599,2023-02-01T18:58:27.000Z,Pham The Hien,Quan 8,10.728129,106.682029,19.7,60,moderate,slow,40.5,monitoring_station,true,31.79,2023-02-01T18:00:00.000Z
FLD00242,2023-02-01T21:11:16.000Z,Huynh Tan Phat,Quan 7,10.729796,106.721527,10.0,30,light,clear,17.6,IoT_sensor,true,16.0,2023-02-01T21:00:00.000Z
FLD01907,2023-02-02T17:54:22.000Z,Tran Nao,Quan 2,10.784264,106.737372,20.8,30,moderate,slow,42.5,IoT_sensor,true,23.56,2023-02-02T17:00:00.000Z
FLD00031,2023-02-03T23:19:47.000Z,Ba Thang Hai,Quan 10,10.774518,106.672,5.0,90,light,clear,7.3,user_report,true,30.5,2023-02-03T23:00:00.000Z
FLD00599,2023-02-03T23:54:05.000Z,Huynh Tan Phat,Quan 7,10.730413,106.722355,5.0,60,light,clear,8.8,traffic_camera,true,21.5,2023-02-03T23:00:00.000Z
FLD02393,2023-02-04T18:04:06.000Z,Le Van Luong,Quan 7,10.734693,106.707285,5.9,60,light,clear,5.5,IoT_sensor,true,22.13,2023-02-04T18:00:00.000Z
FLD00609,2023-02-04T21:56:43.000Z,Hau Giang,Quan 6,10.745901,106.638965,9.8,90,light,clear,8.3,traffic_camera,true,33.86,2023-02-04T21:00:00.000Z
FLD01884,2023-02-05T06:24:45.000Z,An Duong Vuong,Quan 6,10.756043,106.644895,16.1,30,moderate,slow,31.6,traffic_camera,true,20.27,2023-02-05T06:00:00.000Z
FLD01077,2023-02-05T06:39:39.000Z,Ung Van Khiem,Binh Thanh,10.811699,106.709113,10.9,30,light,clear,15.8,user_report,true,16.63,2023-02-05T06:00:00.000Z
FLD00525,2023-02-05T11:14:22.000Z,Tran Xuan Soan,Quan 7,10.750846,106.699717,5.0,60,light,clear,9.2,IoT_sensor,true,21.5,2023-02-05T11:00:00.000Z
FLD00300,2023-02-07T02:17:16.000Z,To Ky,Quan 12,10.867983,106.632255,61.5,30,severe,blocked,52.6,monitoring_station,true,52.05,2023-02-07T02:00:00.000Z
FLD00264,2023-02-07T13:48:02.000Z,Vo Van Ngan,Thu Duc,10.8491,106.773488,14.8,60,light,clear,18.2,IoT_sensor,true,28.36,2023-02-07T13:00:00.000Z
FLD01893,2023-02-08T05:50:34.000Z,To Ky,Quan 12,10.867292,106.633479,5.9,60,light,clear,6.1,monitoring_station,true,22.13,2023-02-08T05:00:00.000Z
FLD00348,2023-02-08T06:51:59.000Z,Pham Van Dong,Binh Thanh,10.820104,106.700893,10.2,30,light,clear,24.5,user_report,true,16.14,2023-02-08T06:00:00.000Z
FLD01253,2023-02-08T07:17:48.000Z,Tran Xuan Soan,Quan 7,10.751917,106.698507,8.5,30,light,clear,11.2,IoT_sensor,true,14.95,2023-02-08T07:00:00.000Z
FLD01843,2023-02-08T15:43:34.000Z,Hoa Binh,Tan Phu,10.80455,106.621992,25.0,180,moderate,slow,32.4,user_report,true,71.5,2023-02-08T15:00:00.000Z
FLD01177,2023-02-08T17:48:01.000Z,Nguyen Van Khoi,Go Vap,10.82839,106.691783,25.5,60,moderate,slow,40.1,monitoring_station,true,35.849999999999994,2023-02-08T17:00:00.000Z
FLD01114,2023-02-08T20:15:54.000Z,Ma Lo,Binh Tan,10.763807,106.614505,8.5,180,light,clear,19.5,IoT_sensor,true,59.95,2023-02-08T20:00:00.000Z
FLD01040,2023-02-09T14:05:45.000Z,No Trang Long,Binh Thanh,10.816552,106.69655,18.3,60,moderate,slow,34.3,IoT_sensor,true,30.810000000000002,2023-02-09T14:00:00.000Z
FLD01109,2023-02-09T15:31:09.000Z,Le Thi Rieng,Quan 12,10.863336,106.649828,5.0,30,light,clear,9.1,traffic_camera,true,12.5,2023-02-09T15:00:00.000Z
FLD02311,2023-02-09T15:53:37.000Z,Do Xuan Hop,Thu Duc,10.835364,106.78067,81.7,90,severe,blocked,202.7,IoT_sensor,true,84.19,2023-02-09T15:00:00.000Z
FLD01649,2023-02-09T23:16:24.000Z,An Duong Vuong,Quan 6,10.754262,106.643487,14.3,90,light,clear,15.5,IoT_sensor,true,37.01,2023-02-09T23:00:00.000Z
FLD01047,2023-02-10T05:31:26.000Z,Lam Van Ben,Quan 7,10.718262,106.685255,5.3,30,light,clear,11.3,user_report,true,12.709999999999999,2023-02-10T05:00:00.000Z
FLD01707,2023-02-10T05:50:02.000Z,Quang Trung,Go Vap,10.839501,106.662716,21.6,120,moderate,slow,28.2,user_report,true,51.12,2023-02-10T05:00:00.000Z
FLD01026,2023-02-10T08:55:29.000Z,Ma Lo,Binh Tan,10.764233,106.614651,25.4,180,moderate,slow,33.5,IoT_sensor,true,71.78,2023-02-10T08:00:00.000Z
FLD01243,2023-02-10T09:42:40.000Z,Nguyen Van Qua,Quan 12,10.852969,106.663143,11.8,60,light,clear,16.5,IoT_sensor,true,26.259999999999998,2023-02-10T09:00:00.000Z
FLD00516,2023-02-10T10:44:18.000Z,Le Van Viet,Thu Duc,10.844092,106.791479,5.0,30,light,clear,8.0,IoT_sensor,true,12.5,2023-02-10T10:00:00.000Z
FLD01212,2023-02-10T13:12:50.000Z,Tam Binh,Thu Duc,10.862628,106.739109,18.1,120,moderate,slow,36.3,traffic_camera,true,48.67,2023-02-10T13:00:00.000Z
FLD01992,2023-02-10T22:41:27.000Z,Tran Xuan Soan,Quan 7,10.751477,106.696958,24.7,60,moderate,slow,60.4,IoT_sensor,true,35.29,2023-02-10T22:00:00.000Z
FLD02106,2023-02-11T16:57:54.000Z,No Trang Long,Binh Thanh,10.816577,106.69625,13.0,90,light,clear,13.8,IoT_sensor,true,36.1,2023-02-11T16:00:00.000Z
FLD01507,2023-02-11T20:45:49.000Z,Pham Van Dong,Binh Thanh,10.818047,106.703984,24.5,90,moderate,slow,37.2,user_report,true,44.15,2023-02-11T20:00:00.000Z
FLD00676,2023-02-12T01:08:56.000Z,Le Dinh Can,Binh Tan,10.767702,106.596466,28.8,30,moderate,slow,27.1,user_report,true,29.16,2023-02-12T01:00:00.000Z
FLD01062,2023-02-12T02:54:38.000Z,Xo Viet Nghe Tinh,Binh Thanh,10.805729,106.712001,10.6,60,light,clear,20.6,user_report,true,25.419999999999998,2023-02-12T02:00:00.000Z
FLD01202,2023-02-13T20:23:36.000Z,Pham Van Dong,Binh Thanh,10.817233,106.70222,25.9,60,moderate,slow,62.9,IoT_sensor,true,36.129999999999995,2023-02-13T20:00:00.000Z
FLD00883,2023-02-13T23:04:30.000Z,Vo Van Ngan,Thu Duc,10.852117,106.772621,15.4,60,moderate,slow,23.2,traffic_camera,true,28.78,2023-02-13T23:00:00.000Z
FLD01423,2023-02-14T04:11:27.000Z,Pham The Hien,Quan 8,10.725642,106.682562,41.7,180,severe,blocked,84.2,IoT_sensor,true,83.19,2023-02-14T04:00:00.000Z
FLD00256,2023-02-14T13:35:49.000Z,Nguyen Trai,Quan 5,10.756444,106.664245,5.0,90,light,clear,10.4,traffic_camera,true,30.5,2023-02-14T13:00:00.000Z
FLD01795,2023-02-14T18:31:04.000Z,Quang Trung,Go Vap,10.838495,106.663064,11.5,180,light,clear,12.7,traffic_camera,true,62.05,2023-02-14T18:00:00.000Z
FLD00524,2023-02-15T04:50:35.000Z,Tran Nao,Quan 2,10.782879,106.736861,24.0,90,moderate,slow,42.3,traffic_camera,true,43.8,2023-02-15T04:00:00.000Z
FLD01331,2023-02-15T05:56:45.000Z,Le Van Viet,Thu Duc,10.843784,106.788215,14.0,180,light,clear,16.8,user_report,true,63.8,2023-02-15T05:00:00.000Z
FLD01104,2023-02-15T10:18:35.000Z,Quang Trung,Go Vap,10.839613,106.663417,29.2,60,moderate,slow,61.5,IoT_sensor,true,38.44,2023-02-15T10:00:00.000Z
FLD00971,2023-02-16T01:50:07.000Z,Tran Nao,Quan 2,10.782181,106.737398,14.3,120,light,clear,11.6,user_report,true,46.01,2023-02-16T01:00:00.000Z
FLD01965,2023-02-16T05:55:28.000Z,Ta Quang Buu,Quan 8,10.746414,106.664739,9.0,120,light,clear,7.3,IoT_sensor,true,42.3,2023-02-16T05:00:00.000Z
FLD01281,2023-02-16T09:24:44.000Z,Ta Quang Buu,Quan 8,10.745409,106.662922,21.1,90,moderate,slow,18.7,user_report,true,41.769999999999996,2023-02-16T09:00:00.000Z
FLD02051,2023-02-16T13:44:31.000Z,Ma Lo,Binh Tan,10.76185,106.614923,9.2,60,light,clear,14.9,monitoring_station,true,24.439999999999998,2023-02-16T13:00:00.000Z
FLD02030,2023-02-17T01:29:09.000Z,Tam Binh,Thu Duc,10.862873,106.737207,78.6,60,severe,blocked,101.7,IoT_sensor,true,73.02,2023-02-17T01:00:00.000Z
FLD01585,2023-02-17T03:31:39.000Z,Ba Thang Hai,Quan 10,10.776156,106.671705,20.5,120,moderate,slow,38.4,monitoring_station,true,50.35,2023-02-17T03:00:00.000Z
FLD01254,2023-02-17T04:02:18.000Z,No Trang Long,Binh Thanh,10.816839,106.696945,29.1,240,moderate,slow,44.8,traffic_camera,true,92.37,2023-02-17T04:00:00.000Z
FLD00865,2023-02-17T07:33:46.000Z,Quang Trung,Go Vap,10.839386,106.664662,10.0,30,light,clear,24.4,IoT_sensor,true,16.0,2023-02-17T07:00:00.000Z
FLD00881,2023-02-17T09:16:30.000Z,Tran Nao,Quan 2,10.783729,106.73478,8.7,60,light,clear,17.2,IoT_sensor,true,24.09,2023-02-17T09:00:00.000Z
FLD01681,2023-02-17T18:20:23.000Z,Huynh Tan Phat,Quan 7,10.726725,106.721499,23.2,120,moderate,slow,40.7,user_report,true,52.239999999999995,2023-02-17T18:00:00.000Z
FLD00940,2023-02-18T06:53:15.000Z,Nguyen Van Qua,Quan 12,10.855134,106.663875,41.6,90,severe,blocked,98.3,user_report,true,56.12,2023-02-18T06:00:00.000Z
FLD00663,2023-02-18T18:29:03.000Z,Hoa Binh,Tan Phu,10.804983,106.623697,14.2,90,light,clear,30.0,IoT_sensor,true,36.94,2023-02-18T18:00:00.000Z
FLD02075,2023-02-18T21:17:46.000Z,Pham The Hien,Quan 8,10.727541,106.685115,6.3,90,light,clear,12.2,traffic_camera,true,31.41,2023-02-18T21:00:00.000Z
FLD01606,2023-02-19T05:53:13.000Z,Binh Long,Tan Phu,10.798965,106.616164,16.0,30,moderate,slow,20.1,IoT_sensor,true,20.2,2023-02-19T05:00:00.000Z
FLD00626,2023-02-19T17:09:50.000Z,Phan Huy Ich,Go Vap,10.830175,106.67155,9.7,30,light,clear,8.9,IoT_sensor,true,15.79,2023-02-19T17:00:00.000Z
FLD00809,2023-02-19T21:23:02.000Z,Pham Van Dong,Binh Thanh,10.817031,106.70423,20.4,90,moderate,slow,19.3,user_report,true,41.28,2023-02-19T21:00:00.000Z
FLD00203,2023-02-20T12:57:12.000Z,Tam Binh,Thu Duc,10.862063,106.738426,40.0,60,severe,blocked,82.2,user_report,true,46.0,2023-02-20T12:00:00.000Z
FLD01231,2023-02-20T16:18:09.000Z,Pham The Hien,Quan 8,10.728335,106.682745,13.9,120,light,clear,27.3,user_report,true,45.730000000000004,2023-02-20T16:00:00.000Z
