flood_id,timestamp,street,district,lat,lng,depth_cm,duration_min,flood_level,traffic_impact,rainfall_trigger_mm,source,verified
FLD00735,2023-01-07 03:28:34,Nguyen Thi Thap,Quan 7,10.741148,106.716907,19.0,60,moderate,slow,47.0,IoT_sensor,True
FLD00376,2023-01-07 03:48:26,Nguyen Van Khoi,Go Vap,10.828727,106.692311,39.8,240,severe,blocked,90.5,IoT_sensor,False
FLD01512,2023-01-07 22:29:40,To Ky,Quan 12,10.867283,106.632986,49.6,60,severe,blocked,80.7,traffic_camera,True
FLD01911,2023-01-07 23:10:49,Pham Van Dong,Binh Thanh,10.820081,106.700831,28.3,90,moderate,slow,32.8,IoT_sensor,False
FLD02094,2023-01-08 01:22:20,Phan Huy Ich,Go Vap,10.830644,106.672483,38.4,60,severe,blocked,72.6,user_report,True
FLD02302,2023-01-08 01:53:11,Linh Dong,Thu Duc,10.864164,106.76498,9.9,30,light,clear,17.0,IoT_sensor,True
FLD01646,2023-01-08 08:41:55,To Ky,Quan 12,10.864678,106.631835,5.0,120,light,clear,8.4,traffic_camera,True
FLD00665,2023-01-09 02:39:29,An Duong Vuong,Quan 6,10.752671,106.644012,15.2,120,moderate,slow,29.4,IoT_sensor,True
FLD02003,2023-01-09 03:18:29,Xo Viet Nghe Tinh,Binh Thanh,10.807201,106.709502,15.7,60,moderate,slow,18.7,traffic_camera,False
FLD00767,2023-01-09 10:03:53,To Ky,Quan 12,10.866411,106.632768,21.8,60,moderate,slow,43.2,user_report,True
FLD01070,2023-01-09 21:44:14,To Ky,Quan 12,10.867079,106.629597,40.6,120,severe,blocked,48.5,traffic_camera,True
FLD01931,2023-01-09 22:14:17,Hoa Binh,Tan Phu,10.805463,106.623243,29.9,180,moderate,slow,31.6,monitoring_station,True
FLD00567,2023-01-10 01:51:10,Kinh Duong Vuong,Quan 6,10.743958,106.616802,21.3,120,moderate,slow,27.7,user_report,True
FLD02322,2023-01-10 03:28:17,Hoa Binh,Tan Phu,10.805713,106.623961,15.0,30,moderate,slow,18.0,user_report,True
FLD00786,2023-01-10 03:52:24,Vo Van Ngan,Thu Duc,10.849411,106.773974,18.9,60,moderate,slow,40.7,user_report,True
FLD01473,2023-01-10 18:17:27,Phan Huy Ich,Go Vap,10.828402,106.671856,15.8,30,moderate,slow,22.3,monitoring_station,True
FLD00320,2023-01-11 05:44:36,Kha Van Can,Thu Duc,10.849504,106.753147,8.5,30,light,clear,12.6,IoT_sensor,True
FLD00734,2023-01-11 14:15:58,Nguyen Anh Thu,Quan 12,10.876384,106.642934,5.0,30,light,clear,4.9,user_report,False
FLD02353,2023-01-11 23:18:49,Nguyen Anh Thu,Quan 12,10.876828,106.645537,25.3,30,moderate,slow,24.6,monitoring_station,True
FLD00582,2023-01-12 07:01:07,Quang Trung,Go Vap,10.83775,106.664759,14.6,90,light,clear,16.3,user_report,True
FLD00607,2023-01-12 08:19:48,Le Thi Rieng,Quan 12,10.859721,106.649739,8.3,90,light,clear,8.1,IoT_sensor,False
FLD00117,2023-01-13 00:25:55,Nguyen Thi Thap,Quan 7,10.740017,106.714601,8.8,120,light,clear,10.7,monitoring_station,True
FLD01073,2023-01-13 12:25:56,Thoai Ngoc Hau,Tan Phu,10.787538,106.627556,24.7,30,moderate,slow,36.4,traffic_camera,True
FLD01085,2023-01-13 15:08:50,Nguyen Huu Canh,Binh Thanh,10.78634,106.720996,9.8,60,light,clear,18.7,IoT_sensor,True
FLD01111,2023-01-14 02:11:57,Da Nam,Quan 8,10.739647,106.672715,5.0,60,light,clear,10.0,user_report,True
FLD00016,2023-01-14 20:45:14,Le Van Luong,Quan 7,10.738251,106.705787,39.9,120,severe,blocked,64.9,IoT_sensor,True
FLD01101,2023-01-15 03:21:32,Hau Giang,Quan 6,10.745511,106.638807,24.3,120,moderate,slow,45.6,IoT_sensor,False
FLD00604,2023-01-15 21:21:24,Thoai Ngoc Hau,Tan Phu,10.785317,106.630276,15.6,60,moderate,slow,14.9,user_report,False
FLD01093,2023-01-16 00:29:17,Ung Van Khiem,Binh Thanh,10.810849,106.709238,5.0,60,light,clear,12.2,monitoring_station,True
FLD00979,2023-01-16 10:10:38,Linh Dong,Thu Duc,10.866295,106.764753,31.5,120,severe,blocked,56.6,traffic_camera,False
FLD00942,2023-01-16 12:58:05,Hau Giang,Quan 6,10.744577,106.638197,8.9,120,light,clear,11.4,IoT_sensor,False
FLD01272,2023-01-16 14:17:53,Thoai Ngoc Hau,Tan Phu,10.785969,106.626853,24.0,90,moderate,slow,53.4,user_report,False
FLD01634,2023-01-17 03:38:33,Nguyen Van Khoi,Go Vap,10.830168,106.69224,9.4,60,light,clear,10.4,user_report,True
FLD00308,2023-01-17 07:15:28,Hau Giang,Quan 6,10.747698,106.64105,39.8,90,severe,blocked,98.9,monitoring_station,True
FLD02032,2023-01-17 07:20:58,Tran Nao,Quan 2,10.785245,106.735572,29.9,60,moderate,slow,41.2,traffic_camera,False
FLD00947,2023-01-17 08:06:10,Le Van Luong,Quan 7,10.737783,106.706279,19.5,240,moderate,slow,20.1,IoT_sensor,False
FLD02286,2023-01-17 11:30:53,Thoai Ngoc Hau,Tan Phu,10.785066,106.626936,10.7,30,light,clear,11.0,IoT_sensor,True
FLD01935,2023-01-17 21:18:45,Do Xuan Hop,Thu Duc,10.832763,106.780594,6.1,30,light,clear,10.7,user_report,True
FLD02282,2023-01-18 00:24:53,Le Van Luong,Quan 7,10.736918,106.705425,5.0,180,light,clear,4.9,monitoring_station,True
FLD02399,2023-01-18 05:04:41,Ma Lo,Binh Tan,10.76504,106.612956,14.9,60,light,clear,22.3,user_report,True
FLD02264,2023-01-18 06:09:12,Vo Van Kiet,Quan 1,10.762458,106.700241,14.8,90,light,clear,15.2,user_report,False
FLD00047,2023-01-18 15:09:38,Pham The Hien,Quan 8,10.725645,106.681522,8.6,120,light,clear,20.2,IoT_sensor,True
FLD02056,2023-01-19 02:22:15,Quang Trung,Go Vap,10.839947,106.663418,24.3,60,moderate,slow,43.1,traffic_camera,True
FLD02276,2023-01-19 03:36:19,Vo Van Kiet,Quan 1,10.761951,106.70027,48.8,90,severe,blocked,53.6,user_report,True
FLD01199,2023-01-19 09:02:20,Phan Huy Ich,Go Vap,10.829737,106.671233,6.8,120,light,clear,16.6,user_report,True
FLD01767,2023-01-19 11:25:46,Hau Giang,Quan 6,10.748272,106.640035,23.0,90,moderate,slow,33.1,IoT_sensor,True
FLD00610,2023-01-19 15:18:06,Linh Dong,Thu Duc,10.865153,106.764449,41.5,30,severe,blocked,85.8,IoT_sensor,True
FLD00471,2023-01-20 21:59:36,No Trang Long,Binh Thanh,10.815648,106.698121,26.1,30,moderate,slow,37.9,IoT_sensor,False
FLD01785,2023-01-21 00:07:37,Le Dinh Can,Binh Tan,10.766318,106.595781,6.3,60,light,clear,5.5,IoT_sensor,True
FLD01427,2023-01-21 04:08:33,Ung Van Khiem,Binh Thanh,10.810168,106.710971,38.9,30,severe,blocked,59.4,user_report,False
FLD01197,2023-01-21 07:01:33,Tam Binh,Thu Duc,10.861906,106.739477,9.7,90,light,clear,13.3,IoT_sensor,False
FLD01788,2023-01-21 10:14:22,Pham The Hien,Quan 8,10.729389,106.684276,6.8,60,light,clear,6.4,IoT_sensor,True
FLD02072,2023-01-21 14:24:20,Le Van Viet,Thu Duc,10.846293,106.787774,21.1,120,moderate,slow,48.5,IoT_sensor,True
FLD00748,2023-01-22 00:28:10,Nguyen Thi Thap,Quan 7,10.742684,106.713893,11.0,90,light,clear,18.9,monitoring_station,False
FLD01806,2023-01-22 05:31:41,Tran Xuan Soan,Quan 7,10.753053,106.700337,5.5,30,light,clear,11.9,monitoring_station,True
FLD00728,2023-01-22 14:27:09,Vo Van Kiet,Quan 1,10.760814,106.69714,15.9,60,moderate,slow,19.2,monitoring_station,False
FLD00845,2023-01-22 18:09:48,Tan Ky Tan Quy,Binh Tan,10.786761,106.601791,60.1,90,severe,blocked,148.8,monitoring_station,False
FLD01486,2023-01-23 00:13:33,No Trang Long,Binh Thanh,10.816957,106.696538,21.7,180,moderate,slow,44.8,IoT_sensor,False
FLD00925,2023-01-23 05:13:25,Vo Van Kiet,Quan 1,10.762772,106.699705,13.3,180,light,clear,15.5,monitoring_station,True
FLD01043,2023-01-23 16:01:36,Tam Binh,Thu Duc,10.863379,106.738711,16.5,120,moderate,slow,13.6,IoT_sensor,True
FLD00572,2023-01-24 09:22:52,Tam Binh,Thu Duc,10.863577,106.737607,11.7,60,light,clear,27.2,monitoring_station,True
FLD00147,2023-01-24 10:24:17,Nguyen Van Khoi,Go Vap,10.828363,106.691522,20.3,30,moderate,slow,45.6,user_report,True
FLD02324,2023-01-24 11:55:57,Pham Van Dong,Binh Thanh,10.81902,106.704128,9.6,90,light,clear,17.1,IoT_sensor,True
FLD01275,2023-01-24 15:27:12,Da Nam,Quan 8,10.742882,106.673995,5.0,30,light,clear,11.3,IoT_sensor,False
FLD01320,2023-01-24 15:29:37,Le Van Viet,Thu Duc,10.844258,106.789092,5.5,90,light,clear,9.9,monitoring_station,False
FLD02368,2023-01-24 22:42:36,Quang Trung,Go Vap,10.83912,106.664214,30.9,60,severe,blocked,58.3,user_report,False
FLD02055,2023-01-25 02:34:03,Tam Binh,Thu Duc,10.860471,106.739163,21.6,90,moderate,slow,46.4,IoT_sensor,True
FLD02222,2023-01-25 03:02:51,Le Thi Rieng,Quan 12,10.86205,106.648846,27.0,30,moderate,slow,49.0,IoT_sensor,True
FLD01787,2023-01-25 04:30:45,Xo Viet Nghe Tinh,Binh Thanh,10.8065,106.713399,25.1,60,moderate,slow,47.7,IoT_sensor,True
FLD01845,2023-01-25 14:17:34,Tran Xuan Soan,Quan 7,10.749974,106.699142,49.1,30,severe,blocked,70.0,monitoring_station,True
FLD02251,2023-01-26 00:31:35,Tan Ky Tan Quy,Binh Tan,10.789602,106.600806,5.0,120,light,clear,12.0,user_report,True
FLD00481,2023-01-26 03:18:13,Da Nam,Quan 8,10.743181,106.671907,5.0,90,light,clear,10.3,IoT_sensor,False
FLD00051,2023-01-26 17:58:45,Nguyen Huu Canh,Binh Thanh,10.787834,106.722636,30.8,30,severe,blocked,34.2,IoT_sensor,False
FLD01537,2023-01-26 18:29:59,Ma Lo,Binh Tan,10.763524,106.613534,16.4,90,moderate,slow,35.6,monitoring_station,True
FLD00886,2023-01-27 00:58:31,An Duong Vuong,Quan 6,10.755856,106.646333,18.6,60,moderate,slow,39.5,IoT_sensor,False
FLD00363,2023-01-27 03:05:34,Le Van Viet,Thu Duc,10.843755,106.790554,5.8,30,light,clear,8.0,user_report,True
FLD01233,2023-01-27 04:39:42,Thoai Ngoc Hau,Tan Phu,10.784878,106.629169,23.2,90,moderate,slow,35.6,IoT_sensor,False
FLD02119,2023-01-27 07:02:56,Tran Nao,Quan 2,10.782994,106.736826,78.6,30,severe,blocked,160.9,IoT_sensor,True
FLD01962,2023-01-27 13:46:48,Hau Giang,Quan 6,10.745393,106.638862,5.0,30,light,clear,10.3,IoT_sensor,True
FLD01432,2023-01-27 14:33:46,Le Van Viet,Thu Duc,10.843476,106.789999,11.6,60,light,clear,25.6,user_report,True
FLD00004,2023-01-27 15:11:04,Thoai Ngoc Hau,Tan Phu,10.786378,106.627258,5.7,90,light,clear,7.7,traffic_camera,True
FLD00141,2023-01-27 20:36:11,Binh Long,Tan Phu,10.801415,106.615495,14.3,180,light,clear,31.0,user_report,True
FLD01604,2023-01-28 04:32:49,Kinh Duong Vuong,Quan 6,10.74408,106.614002,23.6,90,moderate,slow,47.3,IoT_sensor,True
FLD00238,2023-01-28 07:22:28,An Duong Vuong,Quan 6,10.754237,106.645568,14.3,120,light,clear,32.0,monitoring_station,False
FLD00855,2023-01-28 08:36:00,Xo Viet Nghe Tinh,Binh Thanh,10.808821,106.709946,14.6,30,light,clear,26.2,IoT_sensor,True
FLD00630,2023-01-28 11:45:46,Tam Binh,Thu Duc,10.863475,106.737947,19.0,180,moderate,slow,42.1,user_report,True
FLD01913,2023-01-28 14:33:18,Pham The Hien,Quan 8,10.728354,106.682647,5.0,120,light,clear,6.0,IoT_sensor,True
FLD00867,2023-01-29 04:08:39,Do Xuan Hop,Thu Duc,10.834244,106.783624,8.8,120,light,clear,14.3,IoT_sensor,True
FLD01514,2023-01-29 12:09:28,Vo Van Kiet,Quan 1,10.763918,106.700272,20.9,60,moderate,slow,33.0,monitoring_station,True
FLD01303,2023-01-29 13:08:30,Kinh Duong Vuong,Quan 6,10.743009,106.617357,5.0,90,light,clear,5.5,user_report,False
FLD01037,2023-01-29 17:29:17,Le Van Luong,Quan 7,10.736693,106.705814,5.0,90,light,clear,11.0,user_report,True
FLD01808,2023-01-29 22:04:43,Ung Van Khiem,Binh Thanh,10.810202,106.712437,19.1,30,moderate,slow,45.7,IoT_sensor,True
FLD02081,2023-01-30 17:46:39,Hau Giang,Quan 6,10.747265,106.638787,6.6,180,light,clear,5.3,traffic_camera,True
FLD00489,2023-01-30 18:50:15,Tan Ky Tan Quy,Binh Tan,10.789486,106.600578,13.7,120,light,clear,29.1,IoT_sensor,False
FLD00573,2023-01-31 15:26:22,Nguyen Anh Thu,Quan 12,10.877858,106.644321,5.0,30,light,clear,4.0,IoT_sensor,True
FLD01817,2023-02-01 08:02:04,Nguyen Van Khoi,Go Vap,10.827301,106.692752,19.6,120,moderate,slow,33.1,IoT_sensor,False
FLD00048,2023-02-01 09:47:32,Vo Van Ngan,Thu Duc,10.852211,106.773088,21.2,30,moderate,slow,19.0,monitoring_station,False
FLD01599,2023-02-01 11:58:27,Pham The Hien,Quan 8,10.728129,106.682029,19.7,60,moderate,slow,40.5,monitoring_station,True
FLD00242,2023-02-01 14:11:16,Huynh Tan Phat,Quan 7,10.729796,106.721527,10.0,30,light,clear,17.6,IoT_sensor,True
FLD01907,2023-02-02 10:54:22,Tran Nao,Quan 2,10.784264,106.737372,20.8,30,moderate,slow,42.5,IoT_sensor,True
FLD01617,2023-02-02 12:50:09,CMT8,Quan 3,10.780085,106.679711,16.3,90,moderate,slow,13.9,user_report,False
FLD00031,2023-02-03 16:19:47,Ba Thang Hai,Quan 10,10.774518,106.672,5.0,90,light,clear,7.3,user_report,True
FLD00599,2023-02-03 16:54:05,Huynh Tan Phat,Quan 7,10.730413,106.722355,5.0,60,light,clear,8.8,traffic_camera,True
FLD02244,2023-02-04 09:27:24,No Trang Long,Binh Thanh,10.815974,106.698646,15.9,60,moderate,slow,37.4,IoT_sensor,False
FLD02393,2023-02-04 11:04:06,Le Van Luong,Quan 7,10.734693,106.707285,5.9,60,light,clear,5.5,IoT_sensor,True
FLD00609,2023-02-04 14:56:43,Hau Giang,Quan 6,10.745901,106.638965,9.8,90,light,clear,8.3,traffic_camera,True
FLD00305,2023-02-04 17:14:52,An Duong Vuong,Quan 6,10.753942,106.645631,20.3,30,moderate,slow,22.3,monitoring_station,False
FLD01759,2023-02-04 21:29:58,Nguyen Van Qua,Quan 12,10.856293,106.663281,40.4,30,severe,blocked,41.3,user_report,False
FLD01884,2023-02-04 23:24:45,An Duong Vuong,Quan 6,10.756043,106.644895,16.1,30,moderate,slow,31.6,traffic_camera,True
FLD01077,2023-02-04 23:39:39,Ung Van Khiem,Binh Thanh,10.811699,106.709113,10.9,30,light,clear,15.8,user_report,True
FLD00525,2023-02-05 04:14:22,Tran Xuan Soan,Quan 7,10.750846,106.699717,5.0,60,light,clear,9.2,IoT_sensor,True
FLD00064,2023-02-05 07:55:08,Nguyen Van Khoi,Go Vap,10.829908,106.693519,10.2,60,light,clear,16.5,monitoring_station,False
FLD00178,2023-02-06 02:48:08,Ma Lo,Binh Tan,10.76206,106.614211,18.8,30,moderate,slow,23.5,monitoring_station,False
FLD01684,2023-02-06 12:51:56,Vo Van Kiet,Quan 1,10.761966,106.698529,10.5,30,light,clear,12.9,IoT_sensor,False
FLD02246,2023-02-06 16:48:47,Vo Van Kiet,Quan 1,10.762045,106.699976,60.9,120,severe,blocked,52.8,traffic_camera,False
FLD00300,2023-02-06 19:17:16,To Ky,Quan 12,10.867983,106.632255,61.5,30,severe,blocked,52.6,monitoring_station,True
FLD01506,2023-02-06 22:01:26,Phan Huy Ich,Go Vap,10.830361,106.67059,51.7,30,severe,blocked,128.6,user_report,False
FLD01694,2023-02-07 03:35:55,Nguyen Van Khoi,Go Vap,10.827462,106.692142,10.3,30,light,clear,10.9,monitoring_station,False
FLD00264,2023-02-07 06:48:02,Vo Van Ngan,Thu Duc,10.8491,106.773488,14.8,60,light,clear,18.2,IoT_sensor,True
FLD02328,2023-02-07 22:00:59,Vo Van Ngan,Thu Duc,10.850572,106.771161,11.6,30,light,clear,16.0,user_report,False
FLD01893,2023-02-07 22:50:34,To Ky,Quan 12,10.867292,106.633479,5.9,60,light,clear,6.1,monitoring_station,True
FLD00348,2023-02-07 23:51:59,Pham Van Dong,Binh Thanh,10.820104,106.700893,10.2,30,light,clear,24.5,user_report,True
FLD01253,2023-02-08 00:17:48,Tran Xuan Soan,Quan 7,10.751917,106.698507,8.5,30,light,clear,11.2,IoT_sensor,True
FLD01843,2023-02-08 08:43:34,Hoa Binh,Tan Phu,10.80455,106.621992,25.0,180,moderate,slow,32.4,user_report,True
FLD01177,2023-02-08 10:48:01,Nguyen Van Khoi,Go Vap,10.82839,106.691783,25.5,60,moderate,slow,40.1,monitoring_station,True
FLD01114,2023-02-08 13:15:54,Ma Lo,Binh Tan,10.763807,106.614505,8.5,180,light,clear,19.5,IoT_sensor,True
FLD01081,2023-02-08 16:19:01,Quang Trung,Go Vap,10.836705,106.662808,10.4,180,light,clear,15.0,IoT_sensor,False
FLD00558,2023-02-09 01:07:37,Nguyen Trai,Quan 5,10.758016,106.665018,14.9,90,light,clear,35.2,IoT_sensor,False
FLD01040,2023-02-09 07:05:45,No Trang Long,Binh Thanh,10.816552,106.69655,18.3,60,moderate,slow,34.3,IoT_sensor,True
FLD01109,2023-02-09 08:31:09,Le Thi Rieng,Quan 12,10.863336,106.649828,5.0,30,light,clear,9.1,traffic_camera,True
FLD02311,2023-02-09 08:53:37,Do Xuan Hop,Thu Duc,10.835364,106.78067,81.7,90,severe,blocked,202.7,IoT_sensor,True
FLD00678,2023-02-09 13:36:45,Binh Long,Tan Phu,10.800841,106.615219,15.6,30,moderate,slow,17.7,user_report,False
FLD01649,2023-02-09 16:16:24,An Duong Vuong,Quan 6,10.754262,106.643487,14.3,90,light,clear,15.5,IoT_sensor,True
FLD01047,2023-02-09 22:31:26,Lam Van Ben,Quan 7,10.718262,106.685255,5.3,30,light,clear,11.3,user_report,True
FLD01707,2023-02-09 22:50:02,Quang Trung,Go Vap,10.839501,106.662716,21.6,120,moderate,slow,28.2,user_report,True
FLD01026,2023-02-10 01:55:29,Ma Lo,Binh Tan,10.764233,106.614651,25.4,180,moderate,slow,33.5,IoT_sensor,True
FLD01243,2023-02-10 02:42:40,Nguyen Van Qua,Quan 12,10.852969,106.663143,11.8,60,light,clear,16.5,IoT_sensor,True
FLD00516,2023-02-10 03:44:18,Le Van Viet,Thu Duc,10.844092,106.791479,5.0,30,light,clear,8.0,IoT_sensor,True
FLD01212,2023-02-10 06:12:50,Tam Binh,Thu Duc,10.862628,106.739109,18.1,120,moderate,slow,36.3,traffic_camera,True
FLD01781,2023-02-10 08:30:56,Le Van Viet,Thu Duc,10.843933,106.788716,41.3,30,severe,blocked,51.3,IoT_sensor,False
FLD01992,2023-02-10 15:41:27,Tran Xuan Soan,Quan 7,10.751477,106.696958,24.7,60,moderate,slow,60.4,IoT_sensor,True
FLD02106,2023-02-11 09:57:54,No Trang Long,Binh Thanh,10.816577,106.69625,13.0,90,light,clear,13.8,IoT_sensor,True
FLD01507,2023-02-11 13:45:49,Pham Van Dong,Binh Thanh,10.818047,106.703984,24.5,90,moderate,slow,37.2,user_report,True
FLD00676,2023-02-11 18:08:56,Le Dinh Can,Binh Tan,10.767702,106.596466,28.8,30,moderate,slow,27.1,user_report,True
FLD01062,2023-02-11 19:54:38,Xo Viet Nghe Tinh,Binh Thanh,10.805729,106.712001,10.6,60,light,clear,20.6,user_report,True
FLD01202,2023-02-13 13:23:36,Pham Van Dong,Binh Thanh,10.817233,106.70222,25.9,60,moderate,slow,62.9,IoT_sensor,True
FLD00883,2023-02-13 16:04:30,Vo Van Ngan,Thu Duc,10.852117,106.772621,15.4,60,moderate,slow,23.2,traffic_camera,True
FLD01182,2023-02-13 21:00:43,Binh Long,Tan Phu,10.800644,106.617408,51.6,60,severe,blocked,102.5,IoT_sensor,False
FLD01423,2023-02-13 21:11:27,Pham The Hien,Quan 8,10.725642,106.682562,41.7,180,severe,blocked,84.2,IoT_sensor,True
FLD00256,2023-02-14 06:35:49,Nguyen Trai,Quan 5,10.756444,106.664245,5.0,90,light,clear,10.4,traffic_camera,True
FLD01795,2023-02-14 11:31:04,Quang Trung,Go Vap,10.838495,106.663064,11.5,180,light,clear,12.7,traffic_camera,True
FLD00524,2023-02-14 21:50:35,Tran Nao,Quan 2,10.782879,106.736861,24.0,90,moderate,slow,42.3,traffic_camera,True
FLD01331,2023-02-14 22:56:45,Le Van Viet,Thu Duc,10.843784,106.788215,14.0,180,light,clear,16.8,user_report,True
FLD01104,2023-02-15 03:18:35,Quang Trung,Go Vap,10.839613,106.663417,29.2,60,moderate,slow,61.5,IoT_sensor,True
FLD00971,2023-02-15 18:50:07,Tran Nao,Quan 2,10.782181,106.737398,14.3,120,light,clear,11.6,user_report,True
FLD01965,2023-02-15 22:55:28,Ta Quang Buu,Quan 8,10.746414,106.664739,9.0,120,light,clear,7.3,IoT_sensor,True
FLD01281,2023-02-16 02:24:44,Ta Quang Buu,Quan 8,10.745409,106.662922,21.1,90,moderate,slow,18.7,user_report,True
FLD02051,2023-02-16 06:44:31,Ma Lo,Binh Tan,10.76185,106.614923,9.2,60,light,clear,14.9,monitoring_station,True
FLD02030,2023-02-16 18:29:09,Tam Binh,Thu Duc,10.862873,106.737207,78.6,60,severe,blocked,101.7,IoT_sensor,True
FLD01585,2023-02-16 20:31:39,Ba Thang Hai,Quan 10,10.776156,106.671705,20.5,120,moderate,slow,38.4,monitoring_station,True
FLD01254,2023-02-16 21:02:18,No Trang Long,Binh Thanh,10.816839,106.696945,29.1,240,moderate,slow,44.8,traffic_camera,True
FLD00865,2023-02-17 00:33:46,Quang Trung,Go Vap,10.839386,106.664662,10.0,30,light,clear,24.4,IoT_sensor,True
FLD00881,2023-02-17 02:16:30,Tran Nao,Quan 2,10.783729,106.73478,8.7,60,light,clear,17.2,IoT_sensor,True
FLD01681,2023-02-17 11:20:23,Huynh Tan Phat,Quan 7,10.726725,106.721499,23.2,120,moderate,slow,40.7,user_report,True
FLD00574,2023-02-17 11:35:46,Xo Viet Nghe Tinh,Binh Thanh,10.806965,106.712485,81.8,30,severe,blocked,155.7,IoT_sensor,False
FLD00777,2023-02-17 23:30:56,Ba Thang Hai,Quan 10,10.775853,106.67144,5.0,60,light,clear,8.4,traffic_camera,False
FLD00940,2023-02-17 23:53:15,Nguyen Van Qua,Quan 12,10.855134,106.663875,41.6,90,severe,blocked,98.3,user_report,True
FLD00663,2023-02-18 11:29:03,Hoa Binh,Tan Phu,10.804983,106.623697,14.2,90,light,clear,30.0,IoT_sensor,True
FLD02075,2023-02-18 14:17:46,Pham The Hien,Quan 8,10.727541,106.685115,6.3,90,light,clear,12.2,traffic_camera,True
FLD01606,2023-02-18 22:53:13,Binh Long,Tan Phu,10.798965,106.616164,16.0,30,moderate,slow,20.1,IoT_sensor,True
FLD02162,2023-02-19 03:34:39,Da Nam,Quan 8,10.740472,106.675366,6.3,60,light,clear,6.1,IoT_sensor,False
FLD01352,2023-02-19 07:25:26,Thoai Ngoc Hau,Tan Phu,10.785654,106.62872,17.0,60,moderate,slow,28.6,user_report,False
